
			Кондиционер Dantex RK-07SEG		,['мощность охлаждения, кВт:', '2,2'],['мощность обогрева, кВт:', '2,3'],['потребляемая мощность (охл./обогр.), кВт:', '0,7 / 0,637'],['инверторная регулировка:', 'нет'],['уровень шума (внутр. блок), дБ(А):', '37/35/32'],['уровень шума (внешн. блок), дБ(А):', '48'],['осушение, л/ч:', '0,6'],['производительность вентилятора (внутр./внешн. блок), м3/ч:', '400'],['габариты внутр./внешн. блока, мм:', '730x254x170 / 720x428x310'],['вес (внутр./наружн. блок), кг:', '8 / 22,5'],['параметры электропитания, В/Ф/ГЦ:', '220/50/1'],['рабочий ток охлаждение/обогрев, А:', '3,1 / 2,92'],['макс. длина трассы, м:', '15'],['макс. перепад высот, м:', '10'],['размер труб (газ/жидкость), мм/дюйм:', '3/8" / 1/4"'],['хладагент:', 'R410a'],['диапазон рабочих температур (охл.), °С:', '+18°С ~ +43°С'],['диапазон рабочих температур (обогр.), °С:', '-7°С ~ +24°С'],

			Кондиционер Dantex RK-07SDM3		,['мощность охлаждения, кВт:', '2,19'],['мощность обогрева, кВт:', '2,344'],['потребляемая мощность (охл./обогр.), кВт:', '1,1'],['инверторная регулировка:', 'нет'],['уровень шума, дБ:', '36/31/27'],['габариты внутр./внешн. блока, мм:', '710х250х189/685х430х260'],['страна производитель:', 'Китай'],['гарантия:', '3 года'],

			Кондиционер Dantex RK-07SPG		,['мощность охлаждения, кВт:', '2,2'],['мощность обогрева, кВт:', '2,3'],['потребляемая мощность (охл./обогр.), кВт:', '1,1'],['инверторная регулировка:', 'нет'],['уровень шума, дБ:', '37/35/32'],['габариты внутр./внешн. блока, мм:', '730x254x184/720x428x310'],['страна производитель:', 'Китай'],['гарантия:', '3 года'],

			Кондиционер Lessar LS/LU-H07KPA2		,['мощность охлаждения, кВт:', '2,19'],['мощность обогрева, кВт:', '2,31'],['рекомендуемая пл-дь (охл./нагр.), м2:', '20'],['потребляемая мощность (охл./обогр.), кВт:', '0,68/0,64'],['инверторная регулировка:', 'нет'],['уровень шума, дБ:', '30/40'],['габариты внутр./внешн. блока, мм:', '715x250x188/700x540x240'],['параметры электропитания, В/Ф/ГЦ:', '220/1/50'],['макс. длина трассы, м:', '20'],['размер труб (газ/жидкость), мм/дюйм:', '9,52 (3/8") / 6,35 (1/4")'],['хладагент:', 'R410A'],['производитель:', 'Китай'],['гарантия:', '3 года'],

			Кондиционер Dantex RK-07ENT2		,['мощность охлаждения, кВт:', '2.05'],['мощность обогрева, кВт:', '2.2'],['инверторная регулировка:', 'нет'],['уровень шума (внутр. блок), дБ(А):', '36/34/32'],['габариты внутр./внешн. блока, мм:', '718x240x180'],['производитель:', 'Китай'],['гарантия:', '2 года'],

